top_level_category,subcategories
health_and_medical,"[abortion_clinic, abuse_and_addiction_treatment, acupuncture, addiction_rehabilitation_center, aesthetician, alcohol_and_drug_treatment_center, alcohol_and_drug_treatment_centers, allergist, alternative_medicine, ambulance_and_ems_services, anesthesiologist, animal_assisted_therapy, assisted_living_facility, audiologist, ayurveda, behavior_analyst, blood_and_plasma_donation_center, body_contouring, bulk_billing, cancer_treatment_center, cannabis_clinic, cannabis_collective, cardiologist, cardiovascular_and_thoracic_surgeon, child_psychiatrist, childrens_hospital, chiropractor, colonics, community_health_center, concierge_medicine, cosmetic_dentist, cosmetic_surgeon, counseling_and_mental_health, crisis_intervention_services, cryotherapy, dental_hygienist, dentist, dermatologist, diagnostic_imaging, diagnostic_services, dialysis_clinic, dietitian, doctor, doula, ear_nose_and_throat, eating_disorder_treatment_centers, emergency_medicine, emergency_room, endocrinologist, endodontist, endoscopist, environmental_medicine, eye_care_clinic, family_counselor, family_practice, fertility, float_spa, gastroenterologist, general_dentistry, geneticist, geriatric_medicine, geriatric_psychiatry, gerontologist, halfway_house, halotherapy, health_and_medical, health_and_wellness_club, health_coach, health_department, health_insurance_office, hematology, hepatologist, home_health_care, homeopathic_medicine, hospice, hospital, hospitalist, hydrotherapy, hypnosis_hypnotherapy, immunodermatologist, infectious_disease_specialist, internal_medicine, iv_hydration, laboratory_testing, lactation_services, laser_eye_surgery_lasik, lice_treatment, marriage_or_relationship_counselor, massage_therapy, maternity_centers, medical_cannabis_referral, medical_center, medical_service_organizations, medical_transportation, memory_care, midwife, mobile_clinic, naturopathic_holistic, nephrologist, neurologist, neuropathologist, neurotologist, nurse_practitioner, nutritionist, obstetrician_and_gynecologist, occupational_medicine, occupational_therapy, oncologist, ophthalmologist, optometrist, oral_surgeon, organ_and_tissue_donor_service, orthodontist, orthopedist, orthotics, osteopath, osteopathic_physician, otologist, oxygen_bar, pain_management, paternity_tests_and_services, pathologist, pediatric_anesthesiology, pediatric_cardiology, pediatric_dentist, pediatric_endocrinology, pediatric_gastroenterology, pediatric_infectious_disease, pediatric_nephrology, pediatric_neurology, pediatric_oncology, pediatric_orthopedic_surgery, pediatric_pulmonology, pediatric_radiology, pediatric_surgery, pediatrician, periodontist, personal_care_service, phlebologist, physical_therapy, physician_assistant, placenta_encapsulation_service, plastic_surgeon, podiatrist, podiatry, prenatal_perinatal_care, preventive_medicine, proctologist, prosthetics, prosthodontist, psychiatrist, psychoanalyst, psychologist, psychomotor_therapist, psychotherapist, public_health_clinic, pulmonologist, radiologist, reflexology, rehabilitation_center, reiki, retina_specialist, rheumatologist, sauna, sex_therapist, skilled_nursing, sleep_specialist, sophrologist, speech_therapist, sperm_clinic, spine_surgeon, sports_medicine, sports_psychologist, storefront_clinic, stress_management_services, suicide_prevention_services, surgeon, surgical_center, tattoo_removal, toxicologist, traditional_chinese_medicine, tropical_medicine, tui_na, ultrasound_imaging_center, undersea_hyperbaric_medicine, urgent_care_clinic, urologist, vascular_medicine, walk_in_clinic, weight_loss_center, wellness_program, womens_health_clinic]"
home_service,"[altering_and_remodeling_contractor, artificial_turf, backflow_services, bathroom_remodeling, bathtub_and_sink_repairs, building_contractor, cabinet_sales_service, carpenter, carpet_cleaning, carpet_installation, ceiling_and_roofing_repair_and_service, ceiling_service, childproofing, chimney_service, chimney_sweep, closet_remodeling, contractor, countertop_installation, damage_restoration, deck_and_railing_sales_service, demolition_service, door_sales_service, drywall_services, electrician, excavation_service, exterior_design, fence_and_gate_sales_service, fire_and_water_damage_restoration, fire_protection_service, fireplace_service, firewood, flooring_contractors, foundation_repair, furniture_assembly, garage_door_service, gardener, glass_and_mirror_sales_service, grout_service, gutter_service, handyman, holiday_decorating, home_automation, home_cleaning, home_energy_auditor, home_inspector, home_network_installation, home_security, home_service, home_window_tinting, house_sitting, hvac_services, insulation_installation, interior_design, irrigation, key_and_locksmith, kitchen_remodeling, landscape_architect, landscaping, lawn_service, lighting_fixtures_and_equipment, masonry_concrete, mobile_home_repair, movers, packing_services, painting, patio_covers, paving_contractor, plasterer, plumbing, pool_and_hot_tub_services, pool_cleaning, pressure_washing, refinishing_services, roofing, security_systems, shades_and_blinds, shutters, siding, skylight_installation, solar_installation, solar_panel_cleaning, structural_engineer, stucco_services, television_service_providers, tiling, tree_services, wallpaper_installers, washer_and_dryer_repair_service, water_heater_installation_repair, water_purification_services, waterproofing, window_washing, windows_installation]"
mass_media,"[animation_studio, art_restoration, book_magazine_distribution, broadcasting_media_production, game_publisher, mass_media, media_agency, media_critic, media_news_company, media_news_website, media_restoration_service, movie_critic, movie_television_studio, music_critic, music_production, print_media, radio_station, social_media_company, television_station, theatrical_productions, topic_publisher, video_game_critic, weather_forecast_services]"
pets,"[animal_hospital, animal_physical_therapy, animal_rescue_service, animal_shelter, aquarium_services, dog_trainer, dog_walkers, emergency_pet_hospital, farrier_services, holistic_animal_care, horse_boarding, horse_trainer, pet_adoption, pet_boarding, pet_breeder, pet_cemetery_and_crematorium_services, pet_groomer, pet_hospice, pet_insurance, pet_photography, pet_services, pet_sitting, pet_training, pet_transportation, pet_waste_removal, pets, veterinarian]"
private_establishments_and_corporates,"[corporate_entertainment_services, corporate_gift_supplier, corporate_office, private_equity_firm, private_establishments_and_corporates]"
professional_services,"[3d_printing_service, acoustical_consultant, adoption_services, advertising_agency, after_school_program, air_duct_cleaning_service, antenna_service, appellate_practice_lawyers, appliance_repair_service, appraisal_services, architect, architectural_designer, art_restoration_service, audiovisual_equipment_rental, awning_supplier, bail_bonds_service, balloon_services, bank_equipment_service, bankruptcy_law, bartender, bike_repair_maintenance, billing_services, blacksmiths, blueprinters, boat_charter, boat_storage_facility, bookbinding, bookkeeper, boudoir_photography, bounce_house_rental, bus_rentals, business_consulting, business_law, calligraphy, car_broker, career_counseling, caricature, carpet_dyeing, caterer, cemeteries, certification_agency, child_care_and_day_care, civil_engineers, civil_rights_lawyers, cleaning_services, clock_repair_service, clown, commercial_printer, commercial_refrigeration, commissioned_artist, community_book_boxes, community_gardens, computer_hardware_company, construction_management, construction_services, contract_law, copywriting_service, courier_and_delivery_services, court_reporter, crane_services, cremation_services, criminal_defense_law, customs_broker, data_recovery, day_care_preschool, delegated_driver_service, diamond_dealer, digitizing_services, disability_law, divorce_and_family_law, dj_service, donation_center, dry_cleaning, dui_law, dumpster_rentals, duplication_services, e_commerce_service, editorial_services, elder_care_planning, electrical_consultant, electricity_supplier, electronics_repair_shop, elevator_service, emergency_service, employment_agencies, employment_law, engineering_services, engraving, entertainment_law, environmental_abatement_services, environmental_testing, estate_planning_law, event_photography, event_planning, event_technology_service, face_painting, farm_equipment_repair_service, feng_shui, fingerprinting_service, floral_designer, food_and_beverage_consultant, forestry_service, fortune_telling_service, funeral_services_and_cemeteries, furniture_rental_service, furniture_repair, furniture_reupholstery, game_truck_rental, garbage_collection_service, genealogists, general_litigation, generator_installation_repair, gents_tailor, goldsmith, golf_cart_rental, graphic_designer, gravel_professionals, gunsmith, hazardous_waste_disposal, henna_artist, hydraulic_repair_service, hydro_jetting, ice_supplier, immigration_assistance_services, immigration_law, indoor_landscaping, industrial_cleaning_services, inspection_services, instrumentation_engineers, internet_marketing_service, internet_service_provider, ip_and_internet_law, ironworkers, it_consultant, it_service_and_computer_repair, it_support_and_service, janitorial_services, jewelry_repair_service, junk_removal_and_hauling, junkyard, karaoke_rental, kids_recreation_and_party, knife_sharpening, laboratory, laundromat, laundry_services, lawn_mower_repair_service, lawyer, legal_services, life_coach, lime_professionals, lottery_ticket, machine_and_tool_rentals, machine_shop, magician, mailbox_center, marble_and_granite_professionals, marketing_agency, masonry_contractors, matchmaker, mechanical_engineers, mediator, medical_law, merchandising_service, metal_detector_services, metal_materials_and_experts, misting_system_services, mobile_phone_repair, mobility_equipment_services, mohel, mooring_service, mortuary_services, music_production_services, musical_instrument_services, musician, nanny_services, natural_gas_supplier, notary_public, office_cleaning, officiating_services, package_locker, packaging_contractors_and_service, paralegal_services, party_and_event_planning, party_bike_rental, party_bus_rental, party_character, party_equipment_rental, patent_law, payroll_services, personal_assistant, personal_chef, personal_injury_law, pest_control_service, photo_booth_rental, photographer, piano_services, powder_coating_service, printing_services, private_investigation, process_servers, product_design, professional_services, propane_supplier, public_adjuster, public_phones, public_relations, public_restrooms, real_estate_law, record_label, recording_and_rehearsal_studio, recycling_center, road_contractor, rv_and_boat_storage_facility, rv_storage_facility, sandblasting_service, screen_printing_t_shirt_printing, security_services, self_storage_facility, septic_services, session_photography, sewing_and_alterations, shipping_center, shoe_repair, shoe_shining_service, shredding_services, sign_making, silent_disco, snow_removal_service, snuggle_service, social_media_agency, social_security_law, software_development, sommelier_service, stone_and_masonry, storage_facility, talent_agency, tax_law, taxidermist, team_building_activity, telecommunications, telephone_services, temp_agency, tenant_and_eviction_law, tent_house_supplier, traffic_ticketing_law, translation_services, trivia_host, tv_mounting, typing_services, utility_service, valet_service, venue_and_event_space, video_film_production, videographer, vocal_coach, watch_repair_service, water_delivery, water_supplier, web_designer, web_hosting_service, wedding_chapel, wedding_planning, welders, well_drilling, wildlife_control, wills_trusts_and_probate, wind_energy, workers_compensation_law, writing_service]"
public_service_and_government,"[agriculture_association, armed_forces_branch, central_government_office, chambers_of_commerce, charity_organization, child_protection_service, children_hall, civic_center, community_center, community_services_non_profits, courthouse, department_of_motor_vehicles, department_of_social_service, disability_services_and_support_organization, electric_utility_provider, embassy, energy_company, environmental_conservation_organization, family_service_center, federal_government_offices, fire_department, food_banks, foster_care_services, gay_and_lesbian_services_organization, government_services, home_organization, homeless_shelter, housing_authorities, immigration_and_naturalization, jail_and_prison, juvenile_detention_center, labor_union, law_enforcement, library, local_and_state_government_offices, low_income_housing, national_security_services, non_governmental_association, office_of_vital_records, organization, pension, police_department, political_organization, political_party_office, post_office, private_association, public_and_government_association, public_service_and_government, public_toilet, public_utility_company, railway_service, registry_office, retirement_home, scout_hall, senior_citizen_services, shipping_collection_services, social_and_human_services, social_security_services, social_service_organizations, social_welfare_center, tax_office, town_hall, unemployment_office, volunteer_association, weather_station, youth_organizations]"
real_estate,"[apartment_agent, apartments, art_space_rental, builders, commercial_real_estate, condominium, display_home_center, escrow_services, estate_liquidation, holiday_park, home_developer, home_staging, homeowner_association, housing_cooperative, kitchen_incubator, land_surveying, mobile_home_dealer, mobile_home_park, mortgage_broker, property_management, real_estate, real_estate_agent, real_estate_investment, real_estate_photography, real_estate_service, rental_services, shared_office_space, university_housing]"
religious_organization,"[anglican_church, baptist_church, buddhist_temple, catholic_church, church_cathedral, convents_and_monasteries, episcopal_church, evangelical_church, hindu_temple, jehovahs_witness_kingdom_hall, mission, mosque, pentecostal_church, religious_destination, religious_organization, shinto_shrines, sikh_temple, synagogue, temple]"
retail,"[academic_bookstore, adult_store, agricultural_seed_store, antique_store, appliance_store, aquatic_pet_store, archery_shop, army_and_navy_store, art_supply_store, arts_and_crafts, asian_grocery_store, atelier, auction_house, audio_visual_equipment_store, auto_parts_and_supply_store, baby_gear_and_furniture, back_shop, bagel_shop, bakery, bathroom_fixture_stores, battery_store, bazaars, bedding_and_bath_stores, beer_wine_and_spirits, beverage_store, bicycle_shop, bird_shop, boat_parts_and_supply_store, books_mags_music_and_video, bookstore, boutique, box_lunch_supplier, brewing_supply_store, bridal_shop, building_supply_store, butcher_shop, candle_store, candy_store, cannabis_dispensary, car_auction, cards_and_stationery_store, carpet_store, ceremonial_clothing, cheese_shop, childrens_clothing_store, chimney_cake_shop, chocolatier, christmas_trees, clothing_rental, clothing_store, coffee_and_tea_supplies, comic_books_store, computer_store, concept_shop, convenience_store, cooking_classes, cosmetic_and_beauty_supplies, costume_store, craft_shop, csa_farm, cupcake_shop, custom_cakes_shop, custom_clothing, custom_t_shirt_store, customized_merchandise, dairy_stores, dance_wear, delicatessen, denim_wear_store, dental_supply_store, department_store, designer_clothing, desserts, discount_store, distillery, dive_shop, do_it_yourself_store, donuts, drone_store, drugstore, duty_free_shop, e_cigarette_store, educational_supply_store, electrical_supply_store, electronics, embroidery_and_crochet, ethical_grocery, eyewear_and_optician, fabric_store, farmers_market, farming_equipment_store, fashion, fashion_accessories_store, firework_retailer, fishmonger, fitness_exercise_equipment, flatbread, flea_market, flooring_store, florist, flower_markets, flowers_and_gifts_shop, food, food_delivery_service, food_stand, food_truck, forklift_dealer, formal_wear_store, framing_store, friterie, frozen_foods, frozen_yoghurt_shop, fruits_and_vegetables, fur_clothing, furniture_accessory_store, furniture_store, gelato, gemstone_and_mineral, gift_shop, gold_buyer, golf_equipment, grilling_equipment, grocery_store, guitar_store, gun_and_ammo, hair_supply_stores, handbag_stores, handicraft_shop, hardware_store, hat_shop, health_food_store, health_market, hearing_aid_provider, hearing_aids, herb_and_spice_shop, herbal_shop, hobby_shop, hockey_equipment, holiday_decor, home_and_garden, home_decor, home_goods_store, home_improvement_store, home_theater_systems_stores, honey_farm_shop, horse_equipment_shop, hot_tubs_and_pools, hunting_and_fishing_supplies, hydroponic_gardening, ice_cream_and_frozen_yoghurt, ice_cream_shop, imported_food, indian_grocery_store, indian_sweets_shop, international_grocery_store, japanese_confectionery_shop, japanese_grocery_store, jewelry_store, kiosk, kitchen_and_bath, kitchen_supply_store, knitting_supply, korean_grocery_store, kosher_grocery_store, lawn_mower_store, leather_goods, lighting_store, linen, lingerie_store, liquor_store, livestock_feed_and_supply_store, luggage_store, lumber_store, macarons, market_stall, maternity_wear, mattress_store, meat_shop, medical_supply, mens_clothing_store, mexican_grocery_store, military_surplus_store, mobile_phone_accessories, mobile_phone_store, mulled_wine, music_and_dvd_store, musical_instrument_store, newspaper_and_magazines_store, night_market, nursery_and_gardening, office_equipment, olive_oil, online_shop, organic_grocery_store, orthopedic_shoe_store, outdoor_furniture_store, outdoor_gear, outlet_store, packing_supply, paint_store, paint_your_own_pottery, party_supply, pasta_shop, patisserie_cake_shop, pawn_shop, pen_store, perfume_store, personal_shopper, pet_store, pharmacy, photography_store_and_services, piano_store, pie_shop, pizza_delivery_service, playground_equipment_supplier, plus_size_clothing, pool_and_billiards, pop_up_shop, popcorn_shop, pretzels, props, public_market, pumpkin_patch, religious_items, rental_kiosks, reptile_shop, retail, rice_shop, rug_store, russian_grocery_store, safe_store, safety_equipment, sandwich_shop, saree_shop, seafood_market, shaved_ice_shop, shaved_snow_shop, shoe_store, shopping, shopping_center, shopping_passage, skate_shop, ski_and_snowboard_shop, sleepwear, smokehouse, souvenir_shop, specialty_foods, specialty_grocery_store, spiritual_shop, sporting_goods, sports_wear, stocking, street_vendor, sunglasses_store, supermarket, superstore, surf_shop, swimwear_store, t_shirt_store, tabletop_games, tableware_supplier, thrift_store, tile_store, tire_repair_shop, tire_shop, tobacco_shop, toy_store, traditional_clothing, trophy_shop, uniform_store, used_bookstore, used_vintage_and_consignment, video_and_video_game_rentals, video_game_store, vinyl_record_store, vitamins_and_supplements, wallpaper_store, watch_store, water_store, welding_supply_store, wholesale_store, wig_store, window_treatment_store, wine_tasting_room, winery, womens_clothing_store, woodworking_supply_store]"
structure_and_geography,"[bridge, canal, dam, desert, forest, geologic_formation, island, mountain, natural_hot_springs, nature_reserve, pier, public_plaza, quay, river, skyscraper, structure_and_geography, tower, weir]"
travel,"[aerial_tours, agriturismo, airline_ticket_agency, airlines, airport, airport_shuttles, airport_terminal, architectural_tours, art_tours, balloon_ports, beer_tours, bicycle_sharing_location, bike_parking, bike_sharing, bike_tours, boat_tours, bus_service, bus_station, bus_ticket_agency, bus_tours, cable_car_service, cannabis_tour, car_rental_agency, car_sharing, coach_bus, country_house, domestic_airports, ferry_service, food_tours, gliderports, heliports, historical_tours, houseboat, light_rail_and_subway_stations, limo_services, luggage_storage, major_airports, metro_station, motorcycle_parking, motorcycle_rentals, park_and_rides, parking, passport_and_visa_services, pedicab_service, private_jet_charters, public_transportation, railway_ticket_agent, rental_service, rest_areas, rest_stop, ride_sharing, road_structures_and_services, rv_rentals, ryokan, scooter_tours, seaplane_bases, self_catering_accommodation, sightseeing_tour_agency, ski_resort, taxi_rank, taxi_service, toll_stations, tours, town_car_service, trailer_rentals, train_station, trains, transport_interchange, transportation, travel, travel_agents, travel_services, truck_rentals, ultralight_airports, vacation_rental_agents, visa_agent, visitor_center, walking_tours, water_taxi, whale_watching_tours, wine_tours]"
